Cod_IBGE;Mortalidade_infantil;IDHM_Educacao;Densidade_demográfica;Renda_per_capita;Grau_de_Urbanizacao;Indice_de_Gini;Esgoto_Sanitario;Estab_por_mil_Hab;Doses_Aplicadas_mil_Hab;Razao_Medico_mil_Hab;den_binned
3500105;11,63;0,75;85,12;778,44;96,38;0,515;99,03;4,130524577;395,9107807;4,278043312;2
3500204;19,23;0,648;16,88;588,02;92,52;0,411;95,93;1,450536699;946,6202495;1,450536699;2
3500303;16,06;0,606;76,5;540,88;92,21;0,48;98,87;1,79734891;456,5547068;1,825432487;2
3500402;25,32;0,716;57,33;726,28;92,19;0,531;87,99;0,513017827;391,1760934;2,308580223;2
3500501;8,37;0,675;311,1;680,22;99,1;0,461;90,33;2,231413955;446,065092;2,503537607;3
3500550;23,26;0,695;15,02;703,8;77,74;0,495;75,56;1,854661946;693,8121733;2,697690103;2
3500600;38,46;0,825;955,43;1353,66;100;0,544;97,47;1,921844971;579,4362588;2,562459962;3
3500709;12,13;0,694;38,5;584,66;96,35;0,431;96,91;1,273039243;557,6465379;3,154923341;2
3500758;25;0,658;37,75;510,33;81,83;0,445;70,55;1,384322547;458,7298841;1,384322547;2
3500808;20,83;0,71;35,03;574,27;90,5;0,364;97,35;0,76394194;648,5867074;1,018589254;2
3500907;20,41;0,581;13,29;517,99;84,56;0,424;86,12;2,229930624;456,1446977;2,973240833;2
3501004;16,39;0,635;17,42;635,36;91,76;0,447;98,88;2,957628753;466,0837138;1,800295763;2
3501103;33,33;0,616;12,87;517,16;84,94;0,364;96,17;1,991535972;292,0089619;1,742593976;2
3501152;20,33;0,732;222,66;653,51;83,87;0,429;91,71;0,667705319;483,9750723;1,613621189;3
3501202;26,32;0,683;10,15;463,88;73,54;0,417;98,98;1,104667219;475,283071;0,55233361;1
3501301;18,13;0,732;71,67;558,09;91,3;0,466;93,06;0,924797175;605,3638236;1,639413174;2
3501400;17,54;0,605;34,02;331,26;67,41;0,387;99,23;0,594766059;318,3980967;0,793021412;2
3501509;21,74;0,659;37,96;500,44;92,22;0,533;95,62;0,944584383;676,0075567;1,259445844;2
3501608;7,47;0,76;1789,21;996,71;99,53;0,469;98,37;3,99643619;534,2374217;2,882745505;4
3501707;16;0,701;329,88;565,83;99,24;0,397;99,51;0,770320304;556,6930895;4,19948811;3
3501806;19,61;0,708;23,6;591,29;87,6;0,437;98,98;1,394700139;579,3235704;1,569037657;2
3501905;5,65;0,711;162,12;816,69;84,18;0,498;89,47;4,092534356;419,6499088;4,465888367;3
3502002;21,28;0,668;15,32;685,94;83,81;0,533;93,28;1,030927835;330,5154639;2,680412371;2
3502101;13,35;0,702;59,28;710;94,29;0,52;90,29;3,924786813;473,810968;3,532308131;2
3502200;6,31;0,648;24,56;524,82;74,83;0,45;96,96;1,428513122;394,2696216;0,938737194;2
3502309;14,08;0,637;9,13;401,87;78,78;0,424;97,97;1,498800959;433,9028777;1,648681055;1
3502408;33,33;0,706;12,83;475,43;87,74;0,423;99,47;1,514004542;496,3411557;0,757002271;2
3502507;6,25;0,706;298,63;639,68;98,55;0,486;97,01;1,148169929;462,6564732;1,708252821;3
3502606;21,74;0,67;23,44;508;86,86;0,472;96,99;1,694094869;829,3804453;1,936108422;2
3502705;16,67;0,647;25,02;445,21;81,06;0,556;69,96;1,864915268;533,5684748;1,216249088;2
3502754;12,01;0,597;154,02;591,97;100;0,47;53,42;0,953288847;643,6606292;1,620591039;3
3502804;11,02;0,744;168,8;847,76;98,07;0,54;98,65;4,210658952;480,1201245;3,239372286;3
3502903;7,23;0,723;133,73;763,31;68,73;0,533;40,67;0,833590614;465,7919111;1,759802408;3
3503000;14,49;0,656;27,71;616,78;96,31;0,43;97,14;2,183406114;315,1382824;1,091703057;2
3503109;30,93;0,592;22,23;484,52;82,51;0,392;94,64;0,811030008;358,3130576;1,622060016;2
3503158;71,43;0,612;15,74;414,54;77,7;0,398;59,38;1,618777823;366,2484824;2,023472278;2
3503208;10,46;0,782;235,22;891,74;97,16;0,504;98,89;3,356500804;495,8614872;3,848553278;3
3503307;12,11;0,728;208,17;796,15;95,2;0,482;99,79;2,273819788;651,1975705;3,036846563;3
3503356;33,33;0,694;6,76;468,04;64,15;0,408;98,14;1,101321586;567,7312775;0,984600843;1
3503406;21,05;0,683;16,95;616,98;83,88;0,451;90,71;1,58613958;370,0585652;1,098096633;2
3503505;21,28;0,672;12,73;356,22;67,06;0,46;86,91;1,301066875;489,2011449;2,081707;2
3503604;22,9;0,594;129,55;502,08;92,68;0,366;98,97;1,381597126;468,2693193;1,105277701;3
3503703;25;0,663;72,9;669,28;94,7;0,403;99,26;1,502145923;532,5107296;0,429184549;2
3503802;7,36;0,681;305,62;661,52;90,54;0,471;96,26;1,69172575;410,9372921;1,558668669;3
3503901;16,32;0,73;934,04;745,4;96,31;0,577;58,3;0,64628276;631,5073988;2,40684614;3
3503950;14,29;0,657;26,26;422,34;74,9;0,465;99,06;1,133144476;592,0679887;0,566572238;2
3504008;7,69;0,781;226,63;802,57;95,64;0,504;98,52;4,103332972;409,7611979;3,314230477;3
3504107;11,07;0,67;298,34;871,55;93,66;0,551;56,82;2,277839061;550,1626005;5,386587969;3
3504206;5,85;0,738;34,96;676,26;93,41;0,474;96,92;2,073111741;338,2627324;1,520281943;2
3504305;14,08;0,65;9,99;474,78;67,15;0,488;95,38;0,378214826;510,2118003;0,378214826;1
3504404;6,37;0,623;40,34;465,53;84,56;0,442;99,31;1,403334984;314,7597821;0,577843817;2
3504503;11,49;0,695;74,73;723,28;96,54;0,48;96,84;2,901597021;483,5614248;1,976284585;2
3504602;4,65;0,701;158,57;693,08;93,9;0,367;99,45;0,734888848;727,7849225;3,123277604;3
3504701;55,56;0,537;62,59;205,84;32,15;0,384;98,29;1,349892009;241,3606911;1,61987041;2
3504800;11,76;0,695;60,5;735,55;93,24;0,439;98,82;0,469263257;676,5603003;1,173158142;2
3504909;21,28;0,653;17,76;528,97;84,44;0,515;94,39;0,938878978;348,6057647;2,910524833;2
3505005;17,54;0,649;22,65;446,88;63,73;0,477;84,08;1,182382501;539,462016;0,59119125;2
3505104;11,36;0,599;36,07;489,35;85,53;0,413;98,44;0,411861614;378,2262493;0,686436024;2
3505203;9,98;0,662;79,35;677,08;96,38;0,431;99,52;1,970994028;401,2590828;1,912158386;2
3505302;13,42;0,739;240,65;729,78;98,15;0,454;99,74;2,835538752;369,622501;3,465658475;3
3505351;27,78;0,599;14,11;303,98;29,44;0,549;65,62;1,265822785;702,7124774;0,361663653;2
3505401;12,05;0,532;7,6;359,38;46,72;0,504;76,58;0,910628334;772,6030961;1,821256667;1
3505500;14,57;0,738;77,96;792,94;96,95;0,489;98,26;2,702290594;476,933112;8,437245866;2
3505609;8,51;0,646;224,7;529,22;98,89;0,408;97,26;0,958624528;530,9542953;1,793555569;3
3505708;8,47;0,708;4173,18;877,46;100;0,62;90,95;1,407012368;893,4906767;6,059230682;4
3505807;10,34;0,718;122,6;518,35;88,67;0,418;99,33;1,724053002;628,0478794;1,822570317;3
3505906;14,75;0,685;73,58;728,19;88,44;0,5;99,28;4,333964332;312,0620371;2,341337053;2
3506003;12,98;0,752;564,37;905,65;98,33;0,56;97,79;2,32548562;603,4264534;2,89107008;3
3506102;9,88;0,735;113,43;695,75;96,16;0,508;99,69;3,70844852;490,7693345;2,84539141;2
3506201;32,26;0,712;9,88;595,68;95,59;0,385;100;1,358234295;379,6264856;0,984600843;1
3506300;20,27;0,662;45,66;579,65;91,49;0,456;99,81;1,390562714;530,4533234;1,9467878;2
3506359;16,27;0,654;128,67;617,07;99,06;0,492;30,81;0,679412229;519,6555538;1,801232422;3
3506409;26,67;0,722;50,84;714,09;94,33;0,431;98,82;1,151484135;327,5332651;1,53531218;2
3506508;14,67;0,734;233,27;698,14;97,36;0,429;99,27;1,722588994;465,3792581;1,228065838;3
3506607;15,23;0,64;102,7;478,17;87,23;0,538;70,34;0,64939081;438,0604861;1,360628363;2
3506706;17,65;0,562;21,6;505,86;91,91;0,444;99,46;1,508709368;453,2985873;0,548621588;2
3506805;32;0,656;33,88;679,51;93,46;0,434;96,76;1,73053152;418,6238154;0,247218789;2
3506904;8,06;0,609;17,95;493,07;63,76;0,473;94,23;0,180570603;491,0617551;0,631997111;2
3507001;11,1;0,728;245,01;742,19;94,07;0,494;86,31;1,74544439;450,7959226;1,762898834;3
3507100;12,16;0,631;234,83;603,86;91,05;0,491;84,31;0,782182701;480,4248487;0,988020254;3
3507159;14,29;0,613;29,6;329,1;74,72;0,446;94,21;1,036001036;635,5866356;0,259000259;2
3507209;14,29;0,675;7,04;575,59;77,83;0,4;100;2,463054187;694,5812808;1,231527094;1
3507308;18,18;0,685;39,5;579,94;91,24;0,388;98,68;0,840512713;359,5293129;1,050640891;2
3507407;13,25;0,658;29,06;587,25;94,01;0,428;96,17;2,218886641;385,4989232;1,305227436;2
3507456;55,56;0,615;7,62;494,67;93,06;0,399;98,86;1,163241566;0;1,938735944;1
3507506;13,99;0,746;98,81;897,9;96,64;0,556;95,65;4,591348709;594,4875474;8,622949658;2
3507605;8,54;0,704;329,05;776,01;98,1;0,527;81,24;2,439321869;564,1663618;3,969996341;3
3507704;15,63;0,664;29,13;626,65;92,76;0,433;97,92;0,360230548;454,2507205;0,540345821;2
3507753;28,57;0,618;27,11;471,63;85,91;0,398;98,1;1,445086705;437,1387283;0,361271676;2
3507803;9,09;0,675;89,56;647,89;98,76;0,445;97,53;2,17182475;396,7756756;1,670634423;2
3507902;7,33;0,688;22,16;648,64;86,94;0,42;97,42;2,976939203;619,7484277;1,299790356;2
3508009;13,16;0,578;16,62;382,31;83,66;0,513;92,54;1,016363452;602,0428905;0,711454416;2
3508108;5,59;0,72;52,44;647,42;95,94;0,447;93,29;1,506387081;354,7240299;3,012774162;2
3508207;55,56;0,643;16,82;689,86;83,84;0,466;99,91;1,625261203;263,7566752;1,160900859;2
3508306;38,46;0,619;17,77;454,44;87,28;0,405;98,42;0,928505107;484,6796657;0,69637883;2
3508405;16,62;0,678;191,01;583,97;89,6;0,423;82,02;0,748533279;563,6455594;1,497066559;3
3508504;9,5;0,755;255,46;719,83;85,56;0,511;92,15;3,332712104;469,2875232;3,179231941;3
3508603;17,33;0,728;115,72;628,07;83,48;0,528;93,65;1,83053582;410,474388;1,520275511;2
3508702;14,15;0,62;40,55;500,99;71,8;0,501;91,6;1,962448287;377,1083059;1,166861144;2
3508801;8,89;0,661;19,31;590,1;90,05;0,476;98,65;2,435629784;535,9545349;1,391788448;2
3508900;20,83;0,691;16,54;498,11;85,45;0,382;84,13;1,218620522;540,3363393;0,731172313;2
3509007;7,54;0,749;1039,2;683,16;98,26;0,48;86,5;0,74543792;637,0910031;2,892299129;3
3509106;46,51;0,635;10,66;413,05;38,3;0,464;94,16;1,25;457,1428571;0,892857143;1
3509205;13,52;0,668;584,54;571,55;98,82;0,49;71,71;0,824455409;297,0744715;2,3703093;3
3509254;10,06;0,611;62,82;403,15;74,15;0,484;74,47;1,310706402;754,1735651;1,448675497;2
3509304;10,42;0,674;59,58;604,09;94,94;0,407;99,45;1,088570015;465,3142009;0,890648194;2
3509403;11,73;0,633;39,64;541,09;89,38;0,404;97,33;2,883528816;381,4051358;1,402797802;2
3509452;26,67;0,634;32,56;439,63;88,09;0,495;87,75;0,688231246;522,3675155;0,516173434;2
3509502;8,88;0,731;1515,37;1135,29;98,28;0,578;87,02;1,537216897;524,5584649;5,316881908;4
3509601;11,35;0,739;1066,08;677,02;100;0,435;65,11;0,362135149;430,6873325;1,364042394;3
3509700;7,82;0,648;179,29;568,87;99,38;0,591;77,98;1,656091624;598,5274752;1,915479468;3
3509809;25,97;0,638;10,25;478,42;82,64;0,438;97,52;0,41519618;606,3940212;0,41519618;1
3509908;10,53;0,649;10,13;482,69;86,78;0,501;68,93;0,648245685;210,4367555;1,134429949;1
3509957;47,06;0,677;96,47;402,53;96,17;0,434;79,59;0,592417062;348,9336493;0,789889415;2
3510005;14,84;0,704;52,5;572,73;95,06;0,424;97,92;2,664978847;534,8279423;2,431793198;2
3510104;47,62;0,762;39,4;645,66;85,49;0,481;99,58;0,747943156;353,4031414;2,991772625;2
3510153;28,57;0,605;90,78;426,26;95,49;0,406;89,79;0,601081948;588,8599479;0,601081948;2
3510203;8,97;0,671;28,74;449,04;85,01;0,501;95,93;1,07716834;535,8050756;1,012538239;2
3510302;14,04;0,617;121,88;464,89;86,73;0,402;66,65;0,876253529;549,6056859;0,681530523;3
3510401;16,13;0,669;172,72;669,18;97,56;0,476;89,77;2,599988936;430,1045527;1,475171028;3
3510500;13,09;0,705;250,61;641,55;96,29;0,52;57,94;1,748402322;914,3541247;2,91974575;3
3510609;10,77;0,693;11605,6;577,56;100;0,497;81,19;0,288901616;677,8290817;1,50279525;4
3510708;14,29;0,636;19,28;540,04;91,98;0,436;87,11;1,791656002;518,6417541;2,730142479;2
3510807;6,33;0,64;35,15;637,9;82,83;0,512;98,93;2,579594053;250,3224493;2,409883918;2
3510906;47,62;0,673;13,16;511,87;76,79;0,435;93,73;2,004008016;383,1663327;1,603206413;2
3511003;24,39;0,686;19,72;487,8;75,46;0,48;93,04;1,206098032;770,214203;2,170976457;2
3511102;8,14;0,74;419,35;819,66;99,2;0,465;98,56;4,598740679;464,4301486;5,545791171;3
3511201;10,75;0,676;52,59;677,03;93,11;0,432;96,5;1,593837163;395,5372559;0,664098818;2
3511300;19,61;0,689;46,69;736,05;82,91;0,436;96,3;2,263467632;509,7329108;1,810774106;2
3511409;4,1;0,666;39,06;586,82;92,22;0,435;97,58;1,353250403;587,3106751;0,728673294;2
3511508;5,96;0,739;383;784,71;94,82;0,42;98,03;2,693327013;1065,544806;2,003835298;3
3511607;21,28;0,611;95,32;536,8;67,52;0,438;92,02;0,927643785;551,8900742;1,565398887;2
3511706;19,42;0,675;97,76;615,79;91,48;0,406;89,1;1,299238174;386,4643005;0,590562806;2
3511904;8,55;0,66;51,11;580,29;96,9;0,376;99,37;1,201345507;406,6554541;1,081210956;2
3512001;8,1;0,712;43,73;616,07;95,33;0,461;98,17;2,272339942;492,018406;0,852127478;2
3512100;11,76;0,647;8,52;534,01;75,11;0,408;94,9;1,819384717;521,667218;1,819384717;1
3512209;12,2;0,614;153,45;522,73;96,69;0,448;97,1;1,466060695;561,4279431;0,769681865;3
3512308;9,62;0,658;38,39;633,57;85,37;0,49;92,63;2,451266488;552,9356834;0,641998366;2
3512407;3,55;0,674;178,28;695,07;89,82;0,453;99,05;1,683363442;404,2946297;1,929709312;3
3512506;13,89;0,648;24,54;561,28;85,74;0,389;98,2;0,337495781;397,5700304;0,674991563;2
3512605;18,52;0,619;15,41;406,58;81,95;0,46;97,08;1,032417923;710,5100145;1,238901507;2
3512704;18,87;0,7;14,55;646,92;62,47;0,482;96,75;1,766784452;613,0742049;2,019182231;2
3512803;10,83;0,697;467,15;703,59;92,87;0,459;94,67;1,136331753;394,7560394;1,346763559;3
3512902;33,33;0,63;16,54;580,78;76,66;0,411;96,64;0,714591968;693,8688009;0,857510362;2
3513009;7,42;0,707;769,18;882,64;100;0,587;52,94;0,707287894;647,3987972;1,778323849;3
3513108;12,44;0,683;113,32;663,68;98,52;0,43;99,64;1,742767515;203,9909376;0,871383757;2
3513207;16,53;0,682;22,4;606,96;82,93;0,484;94,24;1,543026706;495,1928783;1,18694362;2
3513306;43,48;0,778;13,88;619,43;71,23;0,439;95,86;1,889466226;312,7066604;1,889466226;2
3513405;14,05;0,758;269,02;649,81;97,73;0,54;97,05;3,603288;403,0677994;2,151963667;3
3513504;13,58;0,681;914,8;569,82;100;0,472;54,09;1,316349839;447,9228774;2,570753804;3
3513603;4,15;0,576;15,31;393,08;62,77;0,548;90,02;1,014713343;253,2632259;1,014713343;2
3513702;8,36;0,687;44,74;666,9;92,7;0,457;99,36;3,761948813;370,6136294;1,38760407;2
3513801;12,41;0,716;13792,92;564,99;100;0,459;96,55;0,442546795;766,122672;2,608306529;4
3513850;111,11;0,704;20,34;486,14;82,53;0,378;98,9;1,747233547;763,54106;1,164822365;2
3513900;8,62;0,645;49,81;576,46;75,25;0,483;89,39;2,663972074;587,9110784;7,348888481;2
3514007;16,67;0,655;59,63;549,79;97,77;0,387;99,45;0,673854447;487,8706199;0,786163522;2
3514106;11,98;0,616;43,15;616,58;96,82;0,472;97,14;1,779623313;213,7772505;1,260566513;2
3514205;14,29;0,709;27,14;560,96;93,87;0,363;99,42;1,960784314;494,1176471;1,960784314;2
3514304;31,25;0,689;43,1;621,72;91,7;0,379;98,69;1,532657392;292,0301816;0,825277057;2
3514403;10,18;0,737;95,95;747,92;92,89;0,447;96,57;4,778308701;493,2992555;2,778086454;2
3514502;6,8;0,698;47,04;605,48;92,23;0,432;98,56;3,924843424;486,5135699;1,002087683;2
3514601;9,71;0,674;88,6;600,51;98,14;0,391;99,3;0,52246604;509,6133751;2,507836991;2
3514700;24,69;0,69;11,84;579,22;82,76;0,542;96,77;0,965095705;512,3049702;2,734437832;2
3514809;14,56;0,615;9,37;373,5;49,21;0,504;90,51;0,459438173;612,1685482;0,525072197;1
3514908;14,42;0,583;87,82;527,37;84,2;0,434;97,56;0,807102502;610,2847919;0,922402859;2
3514924;26,32;0,712;38,85;618,39;93,37;0,334;98,13;0,857387825;533,0094313;0,571591883;2
3514957;55,56;0,641;29,5;683,03;88,79;0,366;94,34;1,245330012;488,1693649;0,415110004;2
3515004;11,41;0,676;3888,26;474,17;100;0,49;72,78;0,343439566;444,5732856;1,011854204;4
3515103;5,95;0,708;445,8;516,15;97,33;0,516;41,79;0,573082744;338,6478186;0,617166032;3
3515129;25;0,691;14,27;559,19;87,74;0,385;98,12;0,977835724;596,1538462;0,977835724;2
3515152;7,35;0,668;188,95;616,17;76,16;0,459;97,14;0,925249574;655,7097638;2,19138057;3
3515186;4,18;0,712;113,89;741,6;91,22;0,573;98,71;3,922673995;648,932422;2,231461255;2
3515194;45,45;0,609;24,93;476,15;85,54;0,386;98,04;1,041883726;571,577412;0,208376745;2
3515202;18,35;0,705;28,42;695,99;87,21;0,397;97,33;3,459352607;478,2554979;1,853224611;2
3515301;27,78;0,714;10,44;566,78;86,57;0,439;97,74;0,750469043;583,1144465;0,750469043;1
3515350;27,27;0,655;16,33;400,5;64,54;0,457;93,48;1,36311209;398,0287302;1,048547761;2
3515400;5;0,648;37,37;555,54;83,39;0,435;98,02;2,301201739;541,8051649;1,598056763;2
3515509;17,65;0,758;125,71;768,74;96,94;0,494;98,75;6,020087125;597,213819;3,494070668;3
3515608;14,93;0,68;34,02;726,55;90,51;0,418;98,56;1,256281407;552,2254128;1,794687724;2
3515657;55,56;0,617;17,07;454,68;61,19;0,408;98,93;1,212856277;1174,044876;1,819284415;2
3515707;11,03;0,703;6571,37;460,59;95,51;0,456;85,92;0,300460533;593,8809658;1,118956469;4
3515806;45,45;0,723;6,52;480,05;87,22;0,418;95,49;1,887979862;222,152297;0,629326621;1
3515905;55,56;0,726;14,28;677,82;84,73;0,376;99,55;1,050420168;241,5966387;1,050420168;2
3516002;23,08;0,646;27,93;501,49;78,9;0,429;98,58;1,320132013;339,8514851;0,660066007;2
3516101;25;0,652;11,85;474,05;91,56;0,494;96,79;2,589715131;361,4502405;0,739918609;2
3516200;8,8;0,753;583,13;716,39;98,24;0,467;99,31;0,58165875;377,0288637;2,07234198;3
3516309;10,93;0,647;3588,58;396,07;99,8;0,436;50,01;0,424304628;602,4093622;1,118100033;4
3516408;14,24;0,654;1163,54;479,44;92,13;0,465;69,17;0,683306943;458,2098672;1,82653202;3
3516507;40;0,762;20,02;631,37;88,9;0,374;99,24;1,117734724;397,5409836;0,984600843;2
3516606;38,46;0,634;18,4;526,55;77,54;0,427;98,3;1,676062776;710,6506171;1,218954746;2
3516705;16,98;0,728;79,87;644,36;93,7;0,508;99,32;1,694795565;545,6064779;1,788950874;2
3516804;45,45;0,635;26,63;623,15;93,81;0,43;98,68;0,419463087;370,8053691;0,209731544;2
3516853;14,49;0,676;19,65;577,11;89,28;0,361;99,82;1,301518438;932,1041215;1,518438178;2
3516903;8,2;0,702;21,99;685,51;88,5;0,459;96,86;1,784372652;387,5845229;0,657400451;2
3517000;10;0,652;16,86;482,7;81,51;0,471;95,72;1,475062229;319,443164;0,921913893;2
3517109;15,38;0,63;17,65;607,26;77,05;0,522;97,15;0,631711939;558,4333544;0,842282586;2
3517208;12,5;0,679;43,9;551,66;93,17;0,378;88,38;1,171842304;460,2829162;0,585921152;2
3517307;11,24;0,689;26,47;470,88;91,16;0,406;99,19;1,264907842;520,0578244;0,18070112;2
3517406;6,26;0,683;32,41;652,5;96,87;0,521;99,67;1,792068815;472,3637388;0,921635391;2
3517505;4,17;0,605;65,99;618,66;90,86;0,424;92,27;1,007290867;442,9681504;1,774750576;2
3517604;36,76;0,602;42,02;307,49;42,19;0,566;83,08;1,125175809;645,4008439;0,450070323;2
3517703;4,17;0,63;58,59;544,41;97,62;0,491;99,06;2,497118709;461,6308106;0,960430273;2
3517802;42,25;0,663;14,62;551,94;82,14;0,43;99,78;1,783166904;540,299572;0,951022349;2
3517901;16,26;0,682;17,44;557,33;92,92;0,418;95,97;1,730734196;468,9378758;1,093095281;2
3518008;50;0,714;23,34;497,96;89,39;0,41;97,28;2,081165453;1244,536941;0,520291363;2
3518107;44,12;0,623;14,43;511,51;90,81;0,491;99,34;0,926354794;502,7018681;0,463177397;2
3518206;10,81;0,726;34,47;645,78;94,02;0,433;99,12;1,964085297;769,4849732;0,717047013;2
3518305;9,85;0,656;110,03;621,85;86,05;0,506;51,1;0,815522104;644,7381834;2,412586224;2
3518404;13,79;0,751;161,83;800,48;95,37;0,548;92,54;2,906755672;467,6919177;2,74620812;3
3518503;6,58;0,583;32,61;405,79;57,76;0,435;75,94;0,761904762;500,952381;0,888888889;2
3518602;9,96;0,645;148,38;579,21;98,42;0,439;99,56;1,281361318;336,3317188;2,383332052;3
3518701;18,51;0,679;2213,21;602,13;99,98;0,519;77,97;1,144103285;405,8121711;1,956353408;4
3518800;11,59;0,717;4327,86;633,33;100;0,535;86,9;0,619414997;653,6878134;2,20902481;4
